topic,label
0,Korean Peninsula security/nuclear issues
1,Catholic church and deterrence
2,India/Pakistani nuclear tensions
3,Unidentifiable
4,Nuclear deterrence
5,MENA region security issues
6,U.S. defense budgeting and policy-making
7,Non-Proliferation
8,British nuclear security policy
9,Anti-Ballistic missile defense
10,Cyber deterrence
11,Asia-Pacific region security issues
12,U.S. Nuclear weapon modernization and nuclear strategy
13,U.S. Air Force
14,U.S. and maintaining of the World order
15,U.S. - Russia nuclear cooperation and competition
16,'Perestroika' Cold War security issues
17,Transatlantic cooperation and NATO-Russia rivalry in Europe
18,Russian nuclear security policy
19,India's nuclear security policy
